"Gene"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"NOS1AP"	0.00195628499714951	1.36406272704337e-05	0.310207931978313	4.34956753245315	1.3492703492423	60.5251311403025
"TSNAX-DISC1"	0.00209349659067684	1.47039153864721e-05	0.393413462327942	4.33307774714526	1.70469111904057	829.661465890469
"TRIM55"	0.0021083589114759	1.49156091559014e-05	0.666514287115725	-4.32993096869853	-2.8859608528624	58.4835349130684
"TBC1D4"	0.00219042814118061	1.56076923740475e-05	0.236906764886257	4.31993251413161	1.02342123644987	1771.05881675334
"DDHD1"	0.00225074552562506	1.61520317138199e-05	0.261399524581802	4.31236114992537	1.12724915441552	1501.24126365155
"JAM2"	0.00249864677882067	1.80582167443269e-05	0.419088193194871	4.28763910959535	1.79689892751198	1719.23428700395
"IL1R2"	0.00265486618895458	1.93223669086169e-05	0.874912924952416	4.27258060781643	3.73813599667964	2956.86473423722
"HLA-V"	0.00277564709676992	2.03426904486395e-05	1.35680658363516	4.26109590855625	5.78148298222997	105.574224877816
"TEX2"	0.00287639168032121	2.12274426733803e-05	0.365718164147752	4.25157286071385	1.55487742136068	1807.00312688358
"ZNF365"	0.00294851748749142	2.19097899620189e-05	1.0494657761279	4.24448307824483	4.45443972797193	17.224248995647
"ZC3H12A"	0.00295671361016316	2.27231145732205e-05	0.39778384463366	4.23630196597469	1.68513248305455	649.834513547636
"F3"	0.00295671361016316	2.21935952296062e-05	0.621172403205636	4.24159596993538	2.6347623620721	6931.07138013673
"GCNT2"	0.00295671361016316	2.26812658731925e-05	0.521204992165036	-4.23671606328775	-2.20819756257138	353.225132672434
"KCNJ6"	0.00295671361016316	2.24688213398768e-05	0.585061112624398	-4.23882950477975	-2.47997430629157	16.3744911984061
"COL6A1"	0.00295671361016316	2.23049066007329e-05	0.460678070576035	-4.24047320032623	-1.95349301225567	15858.062817012
"MAFB"	0.00302923587591134	2.34346423625063e-05	0.445107808972096	4.22937021747353	1.88252571083148	793.219030462773
"LINC02253"	0.00303668357617613	2.38013676064294e-05	0.563514483297182	-4.22587539556394	-2.38134199000949	25.879869789504
"PLEKHA4"	0.00303668357617613	2.37410822089004e-05	0.473230944181499	-4.22644636955452	-2.00008520599676	245.408750793377
"CKMT1A"	0.00330152220652808	2.60451924883883e-05	1.16425948297105	-4.20554659092167	-4.89634749955712	164.517512680244
"HLA-DQB2"	0.00340499438992977	2.70347681610873e-05	1.04946749305374	4.19710577937366	4.40472608036064	169.639375500042
"FILIP1"	0.00353902438988625	2.86440602276214e-05	0.6476604017889	-4.1839869173789	-2.70980264798912	170.282303957432
"THY1"	0.00353902438988625	2.87750652860664e-05	0.587413637785827	4.18295003320053	2.45712189567867	13976.4763888398
"MARCHF2"	0.00353902438988625	2.88194168557512e-05	0.277843596558399	4.18260001416506	1.16210863090083	513.148667929844
"ESYT3"	0.00354936350038445	2.90842591389402e-05	0.557141354818318	4.18052049769099	2.32914085392931	501.843191573331
"IL21R"	0.00358984755346421	2.97814103834826e-05	0.430351075871057	4.1751313993224	1.79677228960143	65.379284131486
"BST2"	0.00358984755346421	2.96647787063807e-05	0.365327297373156	4.1760245740265	1.52561577139298	1685.81470486983
"ABI3BP"	0.00367912851819705	3.07093382015633e-05	0.776628356937749	4.1681414274477	3.23709682828287	19622.0572864703
"UBE2D1"	0.00369430098693048	3.10240056414662e-05	0.309688149305322	4.16581658918499	1.29010402985011	947.663695656253
"C11orf52"	0.00379643098325706	3.20748953186417e-05	0.411404987223454	-4.15821152502666	-1.71070895932601	155.743208922953
"PLA2G7"	0.003847400419914	3.27013370381534e-05	0.67050855823933	4.15378995711754	2.78515171537589	2705.30803105019
"PRR15"	0.00390735230886021	3.34097713705474e-05	0.749491891156677	4.14888559731482	3.10955611252418	1578.26838843843
