GeneID,GSM4928875,GSM4928876,GSM4928877,GSM4928878,GSM4928879,GSM4928880,GSM4928881
112267889,0,0,0,0.02029,0,0,0
101928553,0.00653,0,0,0,0,0.01737,0
130576,0.1676,0.1405,0.04181,0.1199,0.223,0.3529,0.1503
105373678,0,0,0,0,0,0,0
105373677,0,0,0,0,0.01965,0,0
105373679,0,0,0,0,0,0,0
130574,0.442,0.06751,0.6648,1.414,0.9061,1.198,0.2627
113218495,0,0,0,0,0,0,0
27249,39.93,28.31,25.09,54.77,30.49,38.26,23.84
101929231,7.351,5.563,5.688,8.972,5.347,4.722,3.822
105373680,0,0,0,0,0,0,0
150596,0,0,0,0,0,0,0
105373682,0,0,0,0,0,0,0
105373684,0,0,0.03464,0,0,0,0
105373683,0,0,0,0,0,0,0
105373685,0,0,0,0,0,0,0
390,43.67,19.36,12.7,60.93,27.38,48.28,50.06
101929260,0,0.01738,0,0.02967,0,0.01608,0
101929282,0.245,0,0,0,0,0,0
105373686,0,0,0.1358,0,0,0,0.1395
107985825,0,0,0,0,0,0,0
107985826,0,0,0,0,0,0,0
375287,4.009,3.777,1.743,1.769,3.148,2.794,1.092
9111,13.69,7.274,14.87,20.81,8.681,11.49,13.29
107985827,0,0,0,0,0,0,0
101929319,0.2196,0.1169,0.02434,0.07978,0.09275,0.1298,0.05001
7130,3.58,1.174,0.4184,1.002,1.643,0.7434,0.9587
100616392,0,0,0,0,0,0,0
100616418,0,0,0,0,0,0,0
55183,3.818,4.026,4.073,3.261,3.287,1.5,2.752
4703,0.3408,0.1277,0.2812,0.3573,0.2617,0.1197,0.1366
101929356,0.274,0.3076,0.4375,0.4865,0.2709,0.2291,0.2729
26225,10.29,8.531,8.625,10.78,8.401,7.222,7.582
785,0.1333,0.0918,0.106,0.06642,0.103,0.08495,0.02562
10254,10.26,9.819,7.099,9.077,9.078,6.448,6.564
105373689,0.1028,0.1641,0.1709,0.028,0,0.06073,0.1755
105373688,0,0,0,0,0,0,0
114793,6.973,9.408,15.74,27.07,5.826,4.467,31.2
105373690,2.239,1.275,2.536,2.721,1.518,0.8583,3.969
55660,14.46,11.03,11.04,16.4,10.67,9.247,8.804
151188,4.982,3.394,5.24,5.2,3.355,3.251,3.525
105373691,0,0,0,0,0,0,0
107985950,0.3777,0.1508,0,0.07721,0,0.05581,0
107985951,0,0.03291,0,0.05618,0.05225,0.06091,0
56475,7.821,19.36,0,1.342,0.02447,1.17,0.06598
